model,scope,fold,cohort_type,threshold,case_count,macro_case_dice,median_case_dice,zero_dice_case_count,case_dice_lt_0_30_count,voxel_dice,voxel_sensitivity,voxel_precision,tp,fp,fn
nnUNetResEnc_Layer1_sourceaware,fold,4,all,0.1,617,0.6033131137866178,0.7045033929673041,51,110,0.7786827401503038,0.8191737753789149,0.7420060379353378,8371068.0,2910603.0,1847848.0
nnUNetResEnc_Layer1_sourceaware,fold,4,all,0.2,617,0.6047191196922478,0.7059575737770137,56,108,0.7859344057511136,0.8012472164366553,0.771195912110989,8187878.0,2429240.0,2031038.0
nnUNetResEnc_Layer1_sourceaware,fold,4,all,0.3,617,0.6049934627931524,0.7048286604361371,61,107,0.7881579705099058,0.7888515768208683,0.7874655828491862,8061208.0,2175694.0,2157708.0
nnUNetResEnc_Layer1_sourceaware,fold,4,all,0.4,617,0.6049833094568852,0.7020857929948839,63,107,0.788863858826281,0.7782848983199392,0.7997343747313305,7953228.0,1991609.0,2265688.0
nnUNetResEnc_Layer1_sourceaware,fold,4,all,0.5,617,0.6047391542370413,0.7030033370411568,63,107,0.788609051473779,0.7681508488767301,0.8101867997974964,7849669.0,1839046.0,2369247.0
nnUNetResEnc_Layer1_sourceaware,fold,4,all,0.6,617,0.6040775090863344,0.7072911122937733,63,108,0.7874930162511277,0.7575194864112789,0.8199362525966496,7741028.0,1699984.0,2477888.0
nnUNetResEnc_Layer1_sourceaware,fold,4,all,0.7,617,0.6032096743806928,0.7041095890410959,65,111,0.7852422937023007,0.7450128761211071,0.830064344720933,7613224.0,1558624.0,2605692.0
nnUNetResEnc_Layer1_sourceaware,fold,4,all,0.8,617,0.6017307924533418,0.6994871794871795,66,111,0.7808487020491476,0.7281279149373574,0.8418000253195805,7440678.0,1398331.0,2778238.0
nnUNetResEnc_Layer1_sourceaware,fold,4,all,0.9,617,0.5983425368294527,0.6982024597918638,66,116,0.7693326519216878,0.6969337060799795,0.8585172362664982,7121907.0,1173683.0,3097009.0
nnUNetResEnc_Layer1_sourceaware,fold,4,nca,0.05,251,0.46616408501382023,0.5253822629969419,39,82,0.5394104740360247,0.5081226407234367,0.5748042513702404,792839.0,586481.0,767491.0
nnUNetResEnc_Layer1_sourceaware,fold,4,nca,0.1,251,0.4659241655802196,0.5166666666666667,40,80,0.5432751737907118,0.4972794216608025,0.5986468876796415,775920.0,520203.0,784410.0
nnUNetResEnc_Layer1_sourceaware,fold,4,nca,0.2,251,0.46504954526661146,0.523756906077348,44,80,0.5453797910411221,0.4854216736203239,0.6222370096529062,757418.0,459832.0,802912.0
nnUNetResEnc_Layer1_sourceaware,fold,4,nca,0.3,251,0.46407108842413736,0.5339130434782609,48,80,0.546347023595728,0.477682926047695,0.6380651126158904,745343.0,422787.0,814987.0
nnUNetResEnc_Layer1_sourceaware,fold,4,nca,0.4,251,0.4633271389596483,0.5323609845031905,50,81,0.5467877120941548,0.47115738337402985,0.6513412032377415,735161.0,393527.0,825169.0
nnUNetResEnc_Layer1_sourceaware,fold,4,nca,0.5,251,0.4625586842869291,0.5291396854764108,50,81,0.5468955560330366,0.4649048598693866,0.6639984256004686,725405.0,367075.0,834925.0
nnUNetResEnc_Layer1_sourceaware,fold,4,nca,0.6,251,0.46115112553012366,0.5258654220147803,50,82,0.5463126974399103,0.45818448661501093,0.6764160458387658,714919.0,342003.0,845411.0
nnUNetResEnc_Layer1_sourceaware,fold,4,nca,0.7,251,0.45979512764970853,0.5252525252525253,51,85,0.5452475104677482,0.4505021373683772,0.6904581824753995,702932.0,315134.0,857398.0
nnUNetResEnc_Layer1_sourceaware,fold,4,nca,0.8,251,0.45729977442262376,0.5136729222520108,51,85,0.5424714315863858,0.43983772663475035,0.7075817187538663,686292.0,283620.0,874038.0
nnUNetResEnc_Layer1_sourceaware,fold,4,nca,0.9,251,0.4524350582383697,0.4977449774497745,51,88,0.5336598365200828,0.4194253779649177,0.7334113317330213,654442.0,237884.0,905888.0
nnUNetResEnc_Layer1_sourceaware,fold,4,pca,0.05,366,0.6926281115246568,0.7615519255974363,10,29,0.800795657947799,0.8937311473259029,0.7253676120458419,7738448.0,2929864.0,920138.0
